Date,KO,NVDA,SPY,^GSPC
2010-01-01,16.582584381103516,0.352752149105072,80.57132720947266,1073.8699951171875
2010-02-01,16.114904403686523,0.371317982673645,83.08477020263672,1104.489990234375
2010-03-01,16.81183624267578,0.39882293343544006,87.7814712524414,1169.4300537109375
2010-04-01,16.471765518188477,0.360086590051651,89.5064926147461,1186.68994140625
2010-05-01,15.840018272399902,0.3011801242828369,82.39480590820312,1089.4100341796875
2010-06-01,15.445557594299316,0.23402196168899536,77.76165771484375,1030.7099609375
2010-07-01,17.12700653076172,0.2106427550315857,83.46807098388672,1101.5999755859375
2010-08-01,17.366302490234375,0.21385163068771362,79.71360778808594,1049.3299560546875
2010-09-01,18.1867618560791,0.2677156627178192,86.389892578125,1141.199951171875
2010-10-01,19.201316833496094,0.2755088210105896,90.17030334472656,1183.260009765625
2010-11-01,19.78059959411621,0.3119528889656067,90.17030334472656,1180.550048828125
2010-12-01,20.737071990966797,0.35298123955726624,95.69510650634766,1257.6400146484375
2011-01-01,19.816404342651367,0.5482668280601501,98.4398422241211,1286.1199951171875
2011-02-01,20.153778076171875,0.5193867683410645,101.85934448242188,1327.219970703125
2011-03-01,20.916790008544922,0.42311909794807434,101.43096160888672,1325.8299560546875
2011-04-01,21.424156188964844,0.45841723680496216,104.82193756103516,1363.6099853515625
2011-05-01,21.217721939086914,0.4593340754508972,103.64639282226562,1345.199951171875
2011-06-01,21.37016487121582,0.36535853147506714,101.3952407836914,1320.6400146484375
2011-07-01,21.755189895629883,0.3169955611228943,99.85950469970703,1292.280029296875
2011-08-01,22.535701751708984,0.3050766587257385,94.36966705322266,1218.8900146484375
2011-09-01,21.611244201660156,0.2867400050163269,87.36643981933594,1131.4200439453125
2011-10-01,22.003408432006836,0.33922865986824036,97.40359497070312,1253.300048828125
2011-11-01,21.65236473083496,0.35825300216674805,97.00778198242188,1246.9599609375
2011-12-01,22.69852066040039,0.3176831305027008,97.40359497070312,1257.5999755859375
2012-01-01,21.906970977783203,0.338541179895401,102.56703186035156,1312.4100341796875
2012-02-01,22.662837982177734,0.34725114703178406,107.01898956298828,1365.6800537109375
2012-03-01,24.009105682373047,0.35298123955726624,109.97916412353516,1408.469970703125
2012-04-01,24.939794540405273,0.2979711592197418,109.72379302978516,1397.9100341796875
2012-05-01,24.420217514038086,0.2849063575267792,103.13423156738281,1310.3299560546875
2012-06-01,25.550878524780273,0.3167662024497986,106.76628112792969,1362.1600341796875
2012-07-01,26.584068298339844,0.3103484511375427,108.5890121459961,1379.3199462890625
2012-08-01,24.60999870300293,0.3215796947479248,111.3094711303711,1406.5799560546875
2012-09-01,24.95874786376953,0.3057643473148346,113.5252685546875,1440.6700439453125
2012-10-01,24.631526947021484,0.27459198236465454,112.05429077148438,1412.1600341796875
2012-11-01,25.121774673461914,0.274362713098526,112.6884994506836,1416.1800537109375
2012-12-01,24.180179595947266,0.28282272815704346,112.89456939697266,1426.18994140625
2013-01-01,24.840559005737305,0.28282272815704346,119.51532745361328,1498.1099853515625
2013-02-01,25.82777214050293,0.29205018281936646,121.04021453857422,1514.6800537109375
2013-03-01,26.975078582763672,0.2977875769138336,125.07994842529297,1569.18994140625
2013-04-01,28.440183639526367,0.31960517168045044,128.05001831054688,1597.5699462890625
2013-05-01,26.868011474609375,0.3358524441719055,131.0733184814453,1630.739990234375
2013-06-01,26.948633193969727,0.32752737402915955,128.64344787597656,1606.280029296875
2013-07-01,27.114608764648438,0.3368585705757141,136.0072784423828,1685.72998046875
2013-08-01,25.829227447509766,0.34409046173095703,131.92808532714844,1632.969970703125
2013-09-01,25.626272201538086,0.3648163974285126,135.44287109375,1681.550048828125
2013-10-01,26.964271545410156,0.35614141821861267,142.40557861328125,1756.5400390625
2013-11-01,27.386762619018555,0.36575421690940857,146.62620544433594,1805.81005859375
2013-12-01,28.347156524658203,0.37763556838035583,149.6154327392578,1848.3599853515625
2014-01-01,25.95230484008789,0.37009233236312866,145.12538146972656,1782.5899658203125
2014-02-01,26.213056564331055,0.4332673251628876,151.7308807373047,1859.449951171875
2014-03-01,26.52872657775879,0.42409437894821167,152.31729125976562,1872.3399658203125
2014-04-01,28.21210479736328,0.4373547434806824,154.05311584472656,1883.949951171875
2014-05-01,28.295095443725586,0.4499047100543976,157.62808227539062,1923.5699462890625
2014-06-01,29.29798698425293,0.4410342872142792,160.11508178710938,1960.22998046875
2014-07-01,27.379016876220703,0.4162944257259369,158.7204132080078,1930.6700439453125
2014-08-01,29.072343826293945,0.4626815617084503,164.9840850830078,2003.3699951171875
2014-09-01,29.727378845214844,0.44083482027053833,161.9508514404297,1972.2900390625
2014-10-01,29.396467208862305,0.466878741979599,166.5398712158203,2018.050048828125
2014-11-01,31.46711540222168,0.501046359539032,171.11505126953125,2067.56005859375
2014-12-01,29.83995246887207,0.48109185695648193,169.7440948486328,2058.89990234375
2015-01-01,29.09783363342285,0.4606964588165283,165.62379455566406,1994.989990234375
2015-02-01,30.603261947631836,0.5293209552764893,174.93263244628906,2104.5
2015-03-01,28.659639358520508,0.5041407346725464,171.41998291015625,2067.889892578125
2015-04-01,28.90457534790039,0.5347314476966858,173.87841796875,2085.510009765625
2015-05-01,29.18962287902832,0.5330452919006348,176.1138458251953,2107.389892578125
2015-06-01,27.956768035888672,0.4866316616535187,171.70140075683594,2063.110107421875
2015-07-01,29.516664505004883,0.48275989294052124,176.43411254882812,2103.840087890625
2015-08-01,28.2520694732666,0.5439820289611816,165.6803741455078,1972.1800537109375
